Year,Population,Total growth,Natural growth,Migration saldo
1990,3514.9,59.6,57.9,1.7
1991,3574.5,58.8,54.4,4.4
1992,3633.3,-169.6,44.7,-214.3
1993,3463.7,-107,31.6,-138.6
1994,3356.7,-96.4,26.5,-122.9
1995,3260.3,-11.5,24.1,-35.6
1996,3248.8,-2.8,23.2,-26
1997,3246,-7.8,20,-27.8
1998,3238.2,-6.1,16.2,-22.3
1999,3232.1,-5.2,12.4,-17.6
2000,3226.9,-11.6,10.3,-21.9
2001,3215.3,-7,8.1,-15.1
2002,3208.3,-17.1,6.7,-23.8
2003,3191.2,-17.4,9.8,-27.2
2004,3173.8,-17.8,11.8,-29.6
2005,3156,-19.2,11.1,-30.3
2006,3136.8,-19.4,10.4,-29.8
2007,3117.4,-20.1,13.3,-33.4
2008,3097.3,-20.5,13.8,-34.3
2009,3076.8,-21.6,16.8,-38.4
2010,3055.2,-20.7,16.9,-37.6
2011,3034.5,-13.1,15.4,-28.5
2012,3021.4,5.5,14.9,-9.4
2013,3026.9,-9.8,14.6,-24.4
2014,3017.1,-6.5,15.3,-21.8
2015,3010.6,-12,13.9,-25.9
2016,2998.6,-12.4,12.4,-24.8
