variable_3,per_t_Gdp,Group_2,rem_bil
Nepal,31.29%,Low income,6.611838544
Kyrgyz Republic,30.45%,Lower middle income,1.994607958
Haiti,29.40%,Low income,2.35865334
Tajikistan,26.86%,Lower middle income,1.867398638
Liberia,26.12%,Low income,0.548783569
Moldova,21.69%,Lower middle income,1.46422
"Gambia, The",21.50%,Low income,0.207369203
Comoros,21.17%,Low income,0.130560201
Tonga,19.97%,Upper middle income,0.080201915
Honduras,17.96%,Lower middle income,3.86374
Jamaica,17.31%,Upper middle income,2.433422796
El Salvador,17.14%,Lower middle income,4.593757137
Lebanon,15.35%,Upper middle income,7.615622225
Lesotho,15.00%,Lower middle income,0.343655842
Kosovo,14.82%,Lower middle income,0.985598225
